32,Router VPN,NETGEAR,195.10916000000003,['Velocidad de hasta 300Mbps', 'Soporta hasta 20 conexiones VPN', 'Firewall integrado'],3 
44,Repetidor Wi-Fi NETGEAR Nighthawk,NETGEAR,140.90916,['Velocidad de hasta 1900Mbps', 'Tecnología Beamforming para mayor alcance', 'Puerto Ethernet Gigabit'],4 
45,Tarjeta Gráfica NVIDIA GeForce RTX 3070,NVIDIA,758.78916,['8GB de memoria GDDR6', 'Arquitectura Ampere de segunda generación', 'Soporte de trazado de rayos en tiempo real'],2 
7,Teclado Mecánico,Razer,140.90916,['Teclas retroiluminadas', 'Diseño ergonómico', 'Conexión USB'],9 
38,Smartphone Samsung Galaxy S21,Samsung,867.18916,['Pantalla Dynamic AMOLED de 6.2 pulgadas', 'Procesador Exynos 2100', 'Cámara trasera de 64MP'],1 
16,Smartphone Samsung Galaxy S21,Samsung,867.18916,['Pantalla AMOLED de 6.2 pulgadas', 'Procesador Exynos 2100', 'Cámara trasera de 64 MP'],2 
25,Monitor Curvo Samsung,Samsung,303.50916,['Resolución Full HD', 'Tamaño de 27 pulgadas', 'Frecuencia de actualización de 75Hz'],7 
48,Unidad SSD Interna Samsung 970 EVO Plus,Samsung,216.78916000000004,['Capacidad de 1TB', 'Velocidad'],2 
3,SSD Interno,Samsung,108.38916,['500GB', 'NVMe PCIe Gen 4.0', 'Velocidad de lectura de hasta 7000MB/s'],2 
30,Disco Duro Externo SSD,SanDisk,216.78916000000004,['Capacidad de 1TB', 'Velocidad de transferencia de hasta 1050MB/s', 'Resistente al agua y al polvo'],9 
13,Disco Duro Portátil,Seagate,140.90916,['4TB', 'USB 3.0', 'Resistente a golpes y vibraciones'],9 
42,Disco Duro Externo Seagate Backup Plus,Seagate,108.38916,['Capacidad de 2TB', 'Conexión USB 3.0', 'Compatible con Windows y Mac'],1 
39,Auriculares con Cancelación de Ruido Sony WH-1000XM4,Sony,379.38916000000006,['Cancelación de ruido líder en la industria', 'Autonomía de hasta 30 horas', 'Control táctil'],3 
18,Router Inalámbrico,TP-Link,86.70916,['Soporta Wi-Fi 6', 'Velocidad de hasta 3000 Mbps', 'Puertos'],7 
35,Cámara de Seguridad WiFi,TP-Link,59.60916,['Resolución Full HD', 'Visión nocturna hasta 30 pies', 'Notificaciones de detección de movimiento'],6 
29,Adaptador Wi-Fi USB,TP-Link,21.66916,['Velocidad de hasta 150Mbps', 'Conexión Plug and Play', 'Compatible con Windows y Mac'],1 
2,Disco Duro Externo,Toshiba,130.06916,['2TB', 'USB 3.0', 'Resistente a golpes'],6 
23,Hub USB 3.0 de 4 puertos,UGREEN,14.08116,['Velocidad de transferencia de hasta 5Gbps', 'Compatible con dispositivos USB 2.0 y 1.1', 'Conexión Plug and Play'],7 
1,Disco Duro Interno,Western Digital,86.70916,['1TB', '7200RPM'],8 
2,Celular,AMD,50000.0,['Celular wifi', 'bluteho'],5 
